Disp,comp_str,R_max,EnvNoiseSigma,Repeat,RunID,RunName,S_global,Occ_thresh,comp_conn
1e-5,0.9200000000000002,32,0.001,A,133,TrialLatin,50,0.1,0.01
3.9810717055349695e-5,0.9200000000000002,32,0.001,A,134,TrialLatin,50,0.1,0.01
1.5848931924611142e-4,0.9200000000000002,32,0.001,A,135,TrialLatin,50,0.1,0.01
6.30957344480193e-4,0.9200000000000002,32,0.001,A,136,TrialLatin,50,0.1,0.01
0.0025118864315095794,0.9200000000000002,32,0.001,A,137,TrialLatin,50,0.1,0.01
0.01,0.9200000000000002,32,0.001,A,138,TrialLatin,50,0.1,0.01
1e-5,1.1,32,0.001,A,139,TrialLatin,50,0.1,0.01
3.9810717055349695e-5,1.1,32,0.001,A,140,TrialLatin,50,0.1,0.01
1.5848931924611142e-4,1.1,32,0.001,A,141,TrialLatin,50,0.1,0.01
6.30957344480193e-4,1.1,32,0.001,A,142,TrialLatin,50,0.1,0.01
0.0025118864315095794,1.1,32,0.001,A,143,TrialLatin,50,0.1,0.01
0.01,1.1,32,0.001,A,144,TrialLatin,50,0.1,0.01
1e-5,0.2,41,0.001,A,145,TrialLatin,50,0.1,0.01
3.9810717055349695e-5,0.2,41,0.001,A,146,TrialLatin,50,0.1,0.01
1.5848931924611142e-4,0.2,41,0.001,A,147,TrialLatin,50,0.1,0.01
6.30957344480193e-4,0.2,41,0.001,A,148,TrialLatin,50,0.1,0.01
0.0025118864315095794,0.2,41,0.001,A,149,TrialLatin,50,0.1,0.01
0.01,0.2,41,0.001,A,150,TrialLatin,50,0.1,0.01
1e-5,0.38,41,0.001,A,151,TrialLatin,50,0.1,0.01
3.9810717055349695e-5,0.38,41,0.001,A,152,TrialLatin,50,0.1,0.01
1.5848931924611142e-4,0.38,41,0.001,A,153,TrialLatin,50,0.1,0.01
6.30957344480193e-4,0.38,41,0.001,A,154,TrialLatin,50,0.1,0.01
0.0025118864315095794,0.38,41,0.001,A,155,TrialLatin,50,0.1,0.01
0.01,0.38,41,0.001,A,156,TrialLatin,50,0.1,0.01
1e-5,0.56,41,0.001,A,157,TrialLatin,50,0.1,0.01
3.9810717055349695e-5,0.56,41,0.001,A,158,TrialLatin,50,0.1,0.01
1.5848931924611142e-4,0.56,41,0.001,A,159,TrialLatin,50,0.1,0.01
