Disp,comp_str,R_max,EnvNoiseSigma,FalseAbsenceFrac,Repeat,RunID,RunName,S_global,Occ_thresh,comp_conn
1e-4,0.3,20,0.1,0.1,A,227,TrialObsQual,50,0.1,0.01
0.001,0.3,20,0.1,0.1,A,228,TrialObsQual,50,0.1,0.01
1e-5,0.8,20,0.1,0.1,A,229,TrialObsQual,50,0.1,0.01
1e-4,0.8,20,0.1,0.1,A,230,TrialObsQual,50,0.1,0.01
0.001,0.8,20,0.1,0.1,A,231,TrialObsQual,50,0.1,0.01
1e-5,1.1,20,0.1,0.1,A,232,TrialObsQual,50,0.1,0.01
1e-4,1.1,20,0.1,0.1,A,233,TrialObsQual,50,0.1,0.01
0.001,1.1,20,0.1,0.1,A,234,TrialObsQual,50,0.1,0.01
1e-5,0.3,40,0.1,0.1,A,235,TrialObsQual,50,0.1,0.01
1e-4,0.3,40,0.1,0.1,A,236,TrialObsQual,50,0.1,0.01
0.001,0.3,40,0.1,0.1,A,237,TrialObsQual,50,0.1,0.01
1e-5,0.8,40,0.1,0.1,A,238,TrialObsQual,50,0.1,0.01
1e-4,0.8,40,0.1,0.1,A,239,TrialObsQual,50,0.1,0.01
0.001,0.8,40,0.1,0.1,A,240,TrialObsQual,50,0.1,0.01
1e-5,1.1,40,0.1,0.1,A,241,TrialObsQual,50,0.1,0.01
1e-4,1.1,40,0.1,0.1,A,242,TrialObsQual,50,0.1,0.01
0.001,1.1,40,0.1,0.1,A,243,TrialObsQual,50,0.1,0.01
1e-5,0.3,5,0.001,0.2,A,244,TrialObsQual,50,0.1,0.01
1e-4,0.3,5,0.001,0.2,A,245,TrialObsQual,50,0.1,0.01
0.001,0.3,5,0.001,0.2,A,246,TrialObsQual,50,0.1,0.01
1e-5,0.8,5,0.001,0.2,A,247,TrialObsQual,50,0.1,0.01
1e-4,0.8,5,0.001,0.2,A,248,TrialObsQual,50,0.1,0.01
0.001,0.8,5,0.001,0.2,A,249,TrialObsQual,50,0.1,0.01
1e-5,1.1,5,0.001,0.2,A,250,TrialObsQual,50,0.1,0.01
1e-4,1.1,5,0.001,0.2,A,251,TrialObsQual,50,0.1,0.01
0.001,1.1,5,0.001,0.2,A,252,TrialObsQual,50,0.1,0.01
1e-5,0.3,20,0.001,0.2,A,253,TrialObsQual,50,0.1,0.01
1e-4,0.3,20,0.001,0.2,A,254,TrialObsQual,50,0.1,0.01
0.001,0.3,20,0.001,0.2,A,255,TrialObsQual,50,0.1,0.01
1e-5,0.8,20,0.001,0.2,A,256,TrialObsQual,50,0.1,0.01
1e-4,0.8,20,0.001,0.2,A,257,TrialObsQual,50,0.1,0.01
0.001,0.8,20,0.001,0.2,A,258,TrialObsQual,50,0.1,0.01
1e-5,1.1,20,0.001,0.2,A,259,TrialObsQual,50,0.1,0.01
