OSGR,Lat,Long,CellID_MeanTemps,MeanTemp,CellIDs_LCM,Sea / Estuary,Water (inland),Littoral rock,Littoral sediment,Saltmarsh,Supra-littoral rock,Supra-littoral sediment,Bog (deep peat) ,Dense dwarf shrub heath,Open dwarf shrub heath,Montane habitats,Broad-leaved / mixed woodland ,Coniferous woodland,Improved grassland,Neutral grassland,Setaside grassland,Bracken,Calcareous grassland,Acid grassland,"Fen, marsh, swamp",Arable cereals,Arable horticulture,Arable non-rotational,Suburban / rural developed,Continuous urban,Inland bare ground
SK5645,53.003845,-1.159494,32532,9.149421193059545,668257,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,1,0,77,5,0
SW4534,50.155797,-5.564321,43810,10.603932122625393,885646,0,0,0,0,0,0,0,0,3,0,0,12,0,22,0,0,0,0,11,0,10,38,0,0,0,0
TG0022,52.762876,0.97019,33461,9.395761866610803,684501,0,0,0,0,0,0,0,0,0,0,0,12,22,1,0,0,0,16,0,0,27,17,0,3,0,0
SE0104,53.537148,-1.978838,30541,6.8520818002801676,626902,0,7,0,0,0,0,0,0,1,0,0,13,9,0,0,0,1,0,47,0,0,0,0,1,1,15
TQ8288,51.565839,0.631734,38317,10.21833004866027,778283,0,0,0,0,0,0,0,0,0,0,0,37,0,0,2,8,0,1,0,0,4,0,0,33,13,0
SU9885,51.55979,-0.580495,38300,9.613772439037195,780299,0,0,0,0,0,0,0,0,3,1,0,24,14,4,6,0,0,0,0,27,0,2,0,10,1,3
TL1497,52.563293,-0.312267,34343,9.446224735320095,701915,0,18,0,0,0,0,0,0,0,0,0,4,0,0,1,8,0,38,0,0,0,2,0,16,8,0
SW6042,50.233872,-5.359759,43453,10.59768049777664,880061,1,0,0,2,0,0,0,0,6,0,0,17,0,9,0,0,0,2,0,0,25,33,0,1,0,0
SK5252,53.067169,-1.217958,32351,8.843058158915623,663353,0,0,0,0,0,0,0,0,0,5,0,9,0,11,0,0,0,20,0,0,0,23,0,30,0,0
SJ2582,53.334142,-3.120217,31246,9.545273728483387,642226,0,0,0,0,0,0,0,0,0,0,0,13,0,28,7,0,0,10,0,0,0,6,0,33,0,0
SP2648,52.134171,-1.614255,36126,9.24654855591448,736127,0,0,0,0,0,0,0,0,0,0,0,5,0,22,0,5,0,20,0,0,26,5,0,13,0,0
SU6015,50.935782,-1.140382,40813,9.534008928486255,829261,0,0,0,0,0,0,0,0,0,0,0,6,0,31,0,5,0,4,0,0,16,28,2,4,0,0
TQ3720,50.967517,-0.043181,40648,9.939742163755806,825838,0,0,0,0,0,0,0,0,0,8,0,17,0,16,0,4,0,11,0,4,6,20,5,4,0,0
SP1772,52.350293,-1.744507,35224,8.894651331759283,719318,0,0,0,0,0,0,0,0,0,0,0,25,5,33,0,5,0,10,0,0,6,8,0,5,0,0
TQ4395,51.640003,0.072349,37949,9.934295322301509,773344,0,0,0,0,0,0,0,0,0,0,0,20,0,8,0,0,0,30,0,0,0,0,0,29,11,0
TL8294,52.517818,0.68828,34537,8.872161582852142,704083,0,2,0,0,0,0,0,0,0,0,0,24,50,3,7,0,0,0,4,0,0,0,0,3,5,0
SU7333,51.096107,-0.951764,40275,9.138163576648548,816674,0,0,0,0,0,0,0,0,0,0,0,70,0,9,0,0,0,5,0,0,5,5,0,2,0,0
SJ2623,52.804025,-3.091707,33406,9.355417871447028,683527,0,0,0,0,0,0,0,0,0,0,0,29,2,49,0,0,0,6,0,0,0,7,0,1,1,0
SX9156,50.398334,-3.527938,42939,10.788247154614043,870392,0,0,0,0,0,0,0,0,0,0,0,23,1,3,0,0,0,0,0,0,30,0,0,38,2,0
SE7549,53.936123,-0.851457,28936,8.845130150110291,595476,0,0,0,0,0,0,0,0,0,5,0,4,0,38,0,0,0,0,25,0,1,18,0,0,2,1
TQ2540,51.150009,-0.207054,39926,9.545725852168168,811826,0,0,0,0,0,0,0,0,0,0,0,6,0,29,10,1,0,13,0,0,0,4,14,2,12,3
SK4373,53.256731,-1.349414,31629,9.010115000234512,648644,0,0,0,0,0,0,0,0,0,0,0,1,0,27,18,0,0,9,0,0,0,34,0,5,2,0
TQ3679,51.497967,-0.034953,38668,10.86763180041071,784537,0,31,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,17,43,0
SE6660,54.036204,-0.986124,28394,8.851534726504658,587767,0,0,0,0,0,0,0,0,1,0,0,9,13,0,4,20,0,0,6,1,4,24,0,6,0,7
SE0103,53.528159,-1.978842,30541,6.8520818002801676,627602,0,22,0,0,0,0,0,0,0,4,0,14,2,5,23,0,2,0,21,0,0,0,0,0,0,1
TF6534,52.882498,0.458102,33094,9.392315591074546,676066,8,0,0,2,1,0,0,0,0,0,0,1,0,0,14,0,0,6,0,0,57,6,0,0,0,0
SU1705,50.848758,-1.752787,41164,9.441032484816757,836218,0,0,0,0,0,0,0,0,0,0,0,33,0,32,0,0,0,9,0,0,2,9,1,10,0,0
SK3573,53.257324,-1.469324,31628,8.977909945980947,648636,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,34,0,0,0,27,0,23,0,0
SU2604,50.839425,-1.62502,41346,9.8262514121671,836927,0,0,0,0,0,0,0,0,0,0,0,47,44,0,1,0,0,0,0,0,0,0,0,6,0,0
SD2900,53.496456,-3.064194,30526,NA,629630,0,0,0,72,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SP4287,52.483773,-1.375598,34689,8.918101764272375,708843,0,3,0,0,0,0,0,0,0,0,0,2,1,13,3,0,0,2,0,0,16,39,0,18,0,0
SW8576,50.548817,-5.029152,42198,10.764278977739313,856286,33,0,0,0,0,0,0,0,0,0,0,3,0,6,6,0,0,1,1,0,35,8,0,0,2,0
SP1449,52.143604,-1.789529,36123,9.544805633285433,735415,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,5,0,6,0,0,19,46,0,7,0,0
SY2391,50.718073,-3.085007,41685,9.86056424954038,845924,0,0,0,0,0,0,0,0,0,0,0,6,0,62,0,0,0,3,0,0,0,18,0,6,0,2
SU1068,51.415422,-1.850404,39003,8.753725729832526,792111,0,0,0,0,0,0,0,0,0,0,0,2,0,63,0,0,0,5,0,0,19,8,0,0,0,0
NU1923,55.50489,-1.692838,22624,7.904592938543662,473620,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,47,47,0,0,0,0
SK3840,52.960494,-1.428303,32708,8.923070599792453,671739,0,0,0,0,0,0,0,0,0,0,0,1,0,40,0,0,0,11,0,0,0,37,0,9,0,0
TR2038,51.103375,1.148254,40125,9.712052773958423,813321,0,0,0,0,0,0,0,0,0,0,0,9,0,16,0,0,0,50,0,0,21,1,0,1,0,0
SE3339,53.85066,-1.492254,29287,8.963552922772852,602434,0,0,0,0,0,0,0,0,0,0,0,14,0,22,4,0,0,20,0,0,19,7,0,6,5,0
TQ8061,51.32396,0.58915,39217,9.682924392674401,797181,0,0,0,0,0,0,0,0,0,0,0,68,0,12,0,0,0,8,0,0,6,0,0,3,0,0
SU1141,51.172626,-1.836885,39903,9.593628910717626,811012,0,0,0,0,0,0,0,0,0,0,0,18,0,33,0,0,0,0,0,0,31,12,0,0,0,3
SY1595,50.752926,-3.199222,41504,9.280576797805308,843116,0,0,0,0,0,0,0,0,0,0,0,6,1,29,6,0,0,0,0,0,17,24,12,1,0,0
NU2227,55.540702,-1.645021,22445,8.518350652794437,470823,0,0,0,7,0,0,1,0,0,0,0,2,0,59,5,0,0,0,2,0,6,12,0,0,1,0
SX8470,50.522851,-3.630709,42397,10.330716908069757,860585,0,0,0,0,0,0,0,0,0,0,0,29,0,37,0,0,0,2,0,0,0,5,0,25,0,0
SK7033,52.894335,-0.953508,33075,9.347562555541158,676671,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,12,0,0,0,77,0,2,0,0
SU1244,51.199581,-1.822478,39903,9.593628910717626,808913,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,26,0,0,13,17,0,20,2,5
TM4778,52.348661,1.632597,35090,9.6240243819488,715348,0,0,0,0,0,0,0,0,0,0,0,12,0,1,2,0,0,0,0,0,51,25,4,1,2,0
SU8863,51.363681,-0.730208,39198,9.436648152633342,795689,0,0,0,0,0,0,0,0,5,23,0,0,34,0,0,0,0,0,0,0,0,8,0,23,4,0
SJ4953,53.076328,-2.755257,32330,9.203634961048705,662550,0,0,0,0,0,0,0,0,0,0,0,3,3,33,19,0,0,0,0,0,36,0,0,2,0,0
TQ1478,51.493859,-0.352058,38663,10.54446399285068,785215,0,3,0,0,0,0,0,0,0,0,0,11,1,8,0,7,0,24,0,0,17,12,0,7,4,0
SJ6451,53.059561,-2.531146,32333,9.128755085887164,663965,0,1,0,0,0,0,0,0,0,0,0,10,1,60,2,0,0,0,0,0,1,0,0,22,0,0
SU5484,51.556759,-1.215276,38471,9.085799590379548,780955,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,1,0,1,0,0,2,38,0,0,0,0
SJ9683,53.348379,-2.054038,31260,8.184142605525098,641597,0,6,0,0,0,0,0,0,0,0,0,7,0,55,14,0,0,9,7,0,0,0,0,0,0,0
TQ8452,51.241838,0.641849,39577,9.504698602144176,803485,0,0,0,0,0,0,0,0,0,0,0,26,0,28,0,0,0,16,0,0,0,22,0,5,0,0
SK5338,52.941234,-1.205349,32891,9.665775609773466,673154,0,1,0,0,0,0,0,0,0,0,0,15,0,28,5,0,0,0,0,0,0,22,0,21,5,0
SU9607,50.85897,-0.630296,41180,9.624075961975523,834897,0,0,0,0,0,0,0,0,0,0,0,43,0,31,0,2,0,1,0,0,14,1,0,4,0,0
SX7337,50.223942,-3.774704,43655,10.563396756410734,883674,76,0,0,2,0,0,0,0,0,0,0,9,0,0,0,0,0,2,0,0,0,4,0,0,4,0
SP1448,52.134613,-1.789571,36123,9.544805633285433,736115,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,1,0,9,0,0,14,23,0,3,5,0
NU2328,55.549641,-1.629091,22445,8.518350652794437,470124,37,0,14,16,0,0,1,0,0,0,0,0,0,14,7,0,0,0,1,0,4,1,0,0,0,0
TL7457,52.188133,0.551289,35795,9.250161791579545,729975,0,0,0,0,0,0,0,0,0,0,0,26,5,1,0,7,0,24,0,0,16,15,0,2,0,0
SX6838,50.231839,-3.845106,43654,10.583309068265374,882969,37,0,0,2,0,0,0,0,2,0,0,10,0,11,0,0,0,0,0,0,23,6,0,4,1,0
SK6932,52.885477,-0.968583,33074,9.322867409490339,677370,0,0,0,0,0,0,0,0,0,0,0,2,0,12,0,0,0,0,0,0,18,62,0,0,4,0
SY1190,50.707375999999996,-3.25471,41683,9.566048724487873,846612,0,0,0,0,0,0,0,0,0,0,0,34,0,38,0,0,0,6,0,0,9,3,0,3,1,2
SU8841,51.16591,-0.735646,39918,9.696419076287455,811089,0,0,0,0,0,0,0,0,46,4,0,0,17,4,0,1,0,0,0,6,0,3,0,12,2,0
SW6813,49.976661,-5.230191,44534,10.800152037458203,900369,18,0,2,1,6,0,0,0,0,32,0,0,0,0,0,0,0,29,0,0,1,1,0,5,1,0
